"TITLE"; "LOCATION"; "TYPE"; "URL"; "SALARY"
"Senior Internal Auditor - 18927"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Internal-Auditor-18927"; "$95,000.00/yr"
"Senior IT Security Analyst (OWASP, SDLC) - 18986"; "Oakville"; ""; "http://jobs.lannickgroup.com//jobs/Senior-IT-Security-Analyst-OWASP-SDLC-18986"; "$115,000.00/yr"
"Network Architect (Open Source, SDN) - 18940"; "Ajax"; ""; "http://jobs.lannickgroup.com//jobs/Network-Architect-Open-Source-SDN-18940"; "$100,000.00/yr"
"Tax Analyst - 5 Month Contract - 18780"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Tax-Analyst-Month-Contract-18780"; "$36.00/hr"
"Senior Tax Advisory Manager - 19292"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Tax-Advisory-Manager-19292"; "$130,000.00/yr"
"Financial Analyst - 19297"; "Kirkland Lake"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Analyst-19297"; "$75,000.00/yr"
"Director of Finance - 19299"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Director-of-Finance-19299"; "$60.00+/hr"
"Finance Manager - Customer Operations - 19255"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Finance-Manager-Customer-Operations-19255"; ""
"Manager, Financial Reporting and Analysis - 18896"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-Financial-Reporting-and-Analysis-18896"; "$90,000.00/yr"
"Corporate Controller - 19136"; "Shelburne"; ""; "http://jobs.lannickgroup.com//jobs/Corporate-Controller-19136"; "$135,000.00/yr"
"Financial Planning & Analysis Analyst - 19262"; "Shelburne"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Planning-Analysis-Analyst-19262"; "$80,000.00/yr"
"Accountant - 19263"; "Shelburne"; ""; "http://jobs.lannickgroup.com//jobs/Accountant-19263"; "$70,000.00/yr"
"Accounting Analyst - 3 months - 19267"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Accounting-Analyst-months-19267"; "$26.00/hr"
"Manager, Analytics & Forecasting - 19238"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-Analytics-Forecasting-19238"; "$110,000.00/yr"
"Accounts Payable Team Lead - 6 Month Contract"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Accounts-Payable-Team-Lead-Month-Contract-19198"; "$26.00/hr"
"Tax Technician - 19124"; "North York"; ""; "http://jobs.lannickgroup.com//jobs/Tax-Technician-19124"; "$80,000.00/yr"
"Bilingual Solution Delivery Consultant - 4 Month Contract - 18934"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Bilingual-Solution-Delivery-Consultant-Month-Contract-18934"; "$20.00/hr"
